iter	MAE	RMSE
0	2626549.011	4043957.933
1	2542471.444	3915050.792
2	2462310.521	3796242.587
3	2385977.944	3682008.93
4	2311171.836	3573341.597
5	2245477.008	3472231.494
6	2182632.191	3379159.678
7	2122689.986	3289944.452
8	2064781.696	3206580.749
9	2010821.243	3127066.489
10	1963116.886	3054172.218
11	1916031.013	2983954.217
12	1872708.087	2918251.71
13	1830591.657	2859119.149
14	1789305.373	2803611.29
15	1753700.472	2750098.115
16	1721381.168	2701376.823
17	1687683.189	2653773.725
18	1655802.257	2609901.037
19	1627972.427	2570252.705
20	1602781.477	2534323.788
21	1576420.06	2498906.447
22	1552195.856	2465801.795
23	1529104.929	2433055.538
24	1510842.025	2405803.096
25	1489575.608	2378977.054
26	1470527.603	2352214.379
27	1451900.196	2327014.64
28	1433749.146	2304070.533
29	1416753.173	2283623.679
30	1400712.809	2264512.013
31	1384125.847	2245185.671
32	1370551.013	2227217.738
33	1355497.385	2210066.55
34	1341981.237	2195781.658
35	1330747.428	2181445.12
36	1319540.439	2168541.451
37	1309941.565	2156050.116
38	1299915.604	2144789.172
39	1291648.938	2134302.994
40	1283835.727	2124146.027
41	1275762.399	2114729.398
42	1267011.778	2104735.158
43	1258672.733	2095746.019
44	1251380.34	2088023.943
45	1246304.159	2081500.97
46	1240132.368	2074044.259
47	1233647.763	2066464.519
48	1227915.692	2060430.857
49	1221827.308	2053957.443
50	1215792.981	2047761.485
51	1211116.055	2041719.277
52	1207947.988	2036890.733
53	1202967.75	2031871.275
54	1198846.132	2027107.359
55	1194550.209	2022681.965
56	1190279.845	2017898.942
57	1187075.819	2014010.126
58	1183480.439	2009695.305
59	1179248.896	2005945.671
60	1176282.101	2002852.577
61	1173226.24	1999545.044
62	1168787.736	1995682.506
63	1164411.401	1992551.759
64	1161759.757	1989187.689
65	1159310.389	1986763.772
66	1156697.302	1984031.377
67	1153849.095	1981486.254
68	1151473.877	1979148.422
69	1149388.271	1976416.063
70	1147476.654	1974286.301
71	1145855.428	1972088.525
72	1143967.096	1969757.012
73	1141173.542	1967254.784
74	1139183.092	1963956.361
75	1137260.129	1961479.021
76	1134167.549	1958979.583
77	1133347.476	1957585.498
78	1131290.823	1955605.676
79	1129299.58	1953804.299
80	1127612.598	1952245.219
81	1126490.988	1950442.63
82	1125112.732	1949130.622
83	1122461.607	1947013.27
84	1121107.66	1945213.06
85	1119543.742	1943478.522
86	1117444.87	1941821.378
87	1116165.51	1938802.065
88	1115314.355	1937666.009
89	1114356.13	1936830.029
90	1112869.994	1934562.003
91	1111631.345	1933304.916
92	1110561.345	1931952.833
93	1109835.68	1931043.823
94	1106607.399	1927755.039
95	1106081.243	1926675.453
96	1105138.756	1924809.465
97	1104440.416	1923823.479
98	1103953.542	1922872.942
99	1102527.716	1920921.312
100	1101968.29	1919815.95
101	1100976.321	1918315.082
102	1099460.978	1916308.849
103	1098898.59	1915149.762
104	1097018.359	1912817.696
105	1096056.944	1911613.04
106	1095462.154	1910175.189
107	1094466.907	1908069.998
108	1094068.369	1907151.357
109	1092588.906	1905374.84
110	1091367.76	1903971.253
111	1089765.216	1902567.465
112	1089109.434	1901508.688
113	1088041.837	1900595.271
114	1087661.478	1899883.717
115	1087189.47	1899281.063
116	1086066.669	1897703.132
117	1085636.947	1896524.217
118	1085102.823	1896028.569
119	1084871	1895575.635
120	1084091.837	1894359.927
121	1083679.962	1893756.055
122	1083243.551	1893114.925
123	1082337.463	1891569.553
124	1081730.945	1889650.3
125	1080829.617	1887939.156
126	1080363.674	1887284.446
127	1079406.443	1885148.037
128	1078104.759	1884244.073
129	1077081.469	1882698.688
130	1076381.503	1882175.658
131	1075588.445	1881172.621
132	1075339.109	1880650.488
133	1075070.153	1880209.181
134	1074772.65	1879314.767
135	1074108.687	1877625.834
136	1072901.987	1876142.121
137	1071619.97	1874712.745
138	1068940.568	1871631.04
139	1067781.607	1870199.5
140	1066943.542	1868516.9
141	1066134.23	1867751.679
142	1064763.376	1866280.873
143	1064108.512	1865454.134
144	1063183.466	1864240.384
145	1062479.242	1862800.618
146	1062166.799	1862294.751
147	1061903.524	1861936.361
148	1060926.002	1860680.871
149	1059452.451	1859552.416
150	1058859.141	1858534.857
151	1058691.655	1857736.451
152	1057772.005	1856843.462
153	1057327.723	1856417.387
154	1056924.43	1855802.955
155	1056225.269	1854293.336
156	1055675.867	1853738.012
157	1055514.463	1853285.956
158	1054751.412	1851703.552
159	1053052.218	1849412.796
160	1052672.496	1848503.476
161	1052147.701	1847553.705
162	1051349.026	1846447.997
163	1051050.347	1846090.934
164	1050691.223	1845377.731
165	1050193.021	1844420.523
166	1049978.778	1844173.487
167	1049180.634	1842673.426
168	1048928.355	1841925.261
169	1047153.879	1839906.882
170	1046716.427	1839121.978
171	1046537.486	1838818.144
172	1046355.951	1838379.696
173	1045717.427	1837824.625
174	1044825.966	1836736.841
175	1044305.441	1835976.262
176	1043103.211	1834624.035
177	1042790.211	1834028.755
178	1042146.075	1832774.313
179	1040236.095	1831079.096
180	1040176.777	1830773.007
181	1038701.942	1828740.824
182	1038411.534	1828547.98
183	1037740.056	1828046.773
184	1036875.68	1826859.674
185	1036641.407	1825967.646
186	1036400.458	1825523.345
187	1035842.533	1824759.559
188	1035768.383	1824508.328
189	1034007.044	1822230.941
190	1033446.55	1821584.12
191	1032720.147	1820613.977
192	1032316.793	1820044.948
193	1031902.144	1819374.668
194	1031574.181	1818944.553
195	1031376.657	1818566.938
196	1030941.024	1817607.214
197	1030587.09	1816657.394
198	1030271.882	1815568.703
199	1030072.955	1815250.802
200	1029748.796	1814846.001
201	1029434.211	1814476.353
202	1029242.508	1813673.825
203	1028489.114	1812778.793
204	1027076.819	1810905.725
205	1026673.72	1810100.176
206	1025575.956	1809114.441
207	1024256.675	1807278.828
208	1024078.174	1806664.559
209	1023812.821	1806158.461
210	1023434.907	1805144.932
211	1023278.78	1804679.45
212	1022851.486	1804008.242
213	1021533.931	1802491.671
214	1020762.211	1801747.079
215	1020269.458	1801021.941
216	1019734.891	1800398.198
217	1019381.749	1799740.87
218	1019226.16	1799505.073
219	1019104.506	1798994.356
220	1018995.32	1798642.035
221	1018678.019	1797921.383
222	1017995.534	1797315.312
223	1016864.692	1795832.705
224	1016402.251	1795098.478
225	1016344.2	1794808.956
226	1015913.713	1794236.303
227	1015325.236	1793476.388
228	1015137.864	1792963.492
229	1014856.559	1792320.66
230	1014702.568	1791985.343
231	1014489.717	1791689.132
232	1014398.413	1791478.607
233	1014271.831	1791247.066
234	1013447.166	1790032.549
235	1013207.975	1789095.722
236	1012969.396	1788629.383
237	1012051.904	1787398.836
238	1010690.538	1785587.871
239	1010559.675	1785210.329
240	1009396.707	1784157.918
241	1008117.72	1782840.124
242	1007917.624	1782412.199
243	1007662.085	1781711.577
244	1007293.023	1780968.494
245	1007288.705	1780960.871
246	1006415.399	1779782.309
247	1006146.634	1779322.256
248	1006044.527	1778915.955
249	1005163.019	1777823.207
250	1004371.325	1777084.586
251	1003989.223	1776400.762
252	1003951.951	1776301.93
253	1003693.039	1775674.023
254	1003022.987	1774787.679
255	1002055.943	1773956.172
256	1001803.661	1773414.12
257	1000651.837	1771856.087
258	1000340.423	1771278.115
259	1000084.704	1770958.199
260	999586.6569	1770312.917
261	998507.7569	1769184.869
262	998507.5184	1769184.766
263	997925.14	1768295.953
264	996965.7924	1767463.567
265	996240.2478	1766842.638
266	996143.4346	1766401.752
267	996140.1334	1766398.709
268	996106.2665	1766310.694
269	995082.8974	1765189.754
270	994520.5595	1764596.318
271	994017.0999	1763938.058
272	994016.3763	1763937.174
273	994012.8322	1763933.997
274	993929.3422	1763746.768
275	993914.8261	1763679.816
276	993638.5832	1763156.406
277	993128.8024	1762395.59
278	992379.6394	1761688.908
279	991018.2882	1760246.263
280	990835.0609	1759902.641
281	989926.9518	1759249.944
282	989690.1613	1758797.345
283	989388.3414	1758354.164
284	989256.6793	1758063.636
285	988527.8109	1757384.222
286	988255.9826	1756980.707
287	988061.2187	1756133.664
288	988018.6599	1755869.539
289	987267.4273	1754844.055
290	986582.3964	1754293.763
291	986560.6747	1754142.336
292	986443.5253	1753903.627
293	986261.2348	1753751.089
294	986090.8862	1753208.692
295	985152.2964	1752212.532
296	985133.8733	1752161.88
297	985132.3308	1752159.959
298	984864.8024	1751198.821
299	984842.1491	1751079.108
300	984731.1872	1750628.744
301	984246.399	1750164.289
302	983378.5654	1749185.399
303	982283.3813	1748000.552
304	982109.1542	1747308.126
305	980997.6629	1746235.133
306	980805.4352	1745519.907
307	980638.8777	1745054.656
308	980099.6479	1744631.831
