iter	Passed	Remaining
0	50	50128
1	90	44911
2	138	46150
3	181	45115
4	224	44618
5	268	44528
6	315	44756
7	367	45552
8	422	46472
9	466	46146
10	515	46355
11	558	46013
12	603	45824
13	650	45811
14	682	44816
15	718	44215
16	759	43898
17	797	43499
18	839	43344
19	874	42841
20	917	42781
21	957	42579
22	1001	42547
23	1041	42368
24	1078	42075
25	1122	42049
26	1168	42127
27	1212	42108
28	1255	42047
29	1302	42112
30	1341	41936
31	1387	41973
32	1428	41869
33	1471	41800
34	1515	41793
35	1562	41836
36	1605	41791
37	1646	41683
38	1685	41544
39	1722	41335
40	1768	41366
41	1813	41357
42	1858	41368
43	1899	41279
44	1942	41230
45	1988	41240
46	2035	41274
47	2079	41241
48	2130	41349
49	2180	41434
50	2224	41390
51	2265	41303
52	2307	41226
53	2350	41185
54	2399	41226
55	2446	41241
56	2494	41265
57	2529	41086
58	2578	41130
59	2618	41019
60	2658	40920
61	2703	40900
62	2745	40835
63	2783	40714
64	2824	40626
65	2871	40635
66	2911	40549
67	2953	40485
68	2994	40402
69	3033	40302
70	3079	40298
71	3124	40270
72	3167	40228
73	3215	40230
74	3259	40205
75	3303	40167
76	3358	40258
77	3401	40211
78	3451	40235
79	3495	40198
80	3536	40129
81	3582	40108
82	3617	39970
83	3660	39913
84	3707	39910
85	3750	39860
86	3797	39853
87	3844	39839
88	3893	39850
89	3939	39835
90	3990	39863
91	4034	39814
92	4080	39791
93	4132	39834
94	4177	39792
95	4224	39778
96	4275	39799
97	4327	39828
98	4374	39814
99	4422	39805
100	4474	39823
101	4527	39859
102	4577	39867
103	4629	39883
104	4679	39884
105	4718	39797
106	4765	39769
107	4815	39776
108	4861	39740
109	4904	39678
110	4958	39708
111	5004	39682
112	5048	39626
113	5103	39662
114	5150	39633
115	5204	39662
116	5254	39658
117	5299	39615
118	5353	39636
119	5404	39634
120	5457	39644
121	5508	39644
122	5558	39630
123	5603	39585
124	5651	39560
125	5693	39491
126	5744	39487
127	5786	39418
128	5826	39342
129	5876	39325
130	5924	39299
131	5973	39279
132	6023	39263
133	6076	39269
134	6133	39297
135	6187	39310
136	6229	39242
137	6273	39189
138	6320	39153
139	6366	39110
140	6416	39087
141	6461	39039
142	6505	38986
143	6542	38889
144	6589	38856
145	6630	38783
146	6674	38731
147	6726	38724
148	6769	38666
149	6820	38646
150	6870	38629
151	6913	38568
152	6958	38520
153	7007	38494
154	7052	38447
155	7104	38434
156	7155	38420
157	7211	38428
158	7262	38413
159	7312	38390
160	7356	38337
161	7410	38331
162	7455	38284
163	7517	38319
164	7575	38334
165	7640	38387
166	7689	38357
167	7744	38353
168	7792	38317
169	7849	38321
170	7900	38299
171	7957	38308
172	8010	38293
173	8069	38308
174	8125	38304
175	8199	38387
176	8262	38418
177	8314	38397
178	8371	38395
179	8416	38341
